# NH2D partition function (total, i.e., para and ortho) retrieved from CDMS query (copied from xsams file)
# T [K] Q 
1.072 	8.21954594692378
1.148 	8.411255108575329
1.23 	8.597970692539494
1.318 	8.778375561071377
1.413 	8.953313495373408
1.514 	9.120159005812004
1.622 	9.280203208430986
1.738 	9.434502969450195
1.862 	9.582927342318369
1.995 	9.726947971529164
2.138 	9.868292113315045
2.291 	10.00829401566066
2.455 	10.15003686569592
2.63 	10.296621183171577
2.725 	10.375798571332568
2.818 	10.45385937699051
3.02 	10.627922088682794
3.236 	10.825388688792156
3.467 	11.054890140750883
3.715 	11.327360107163198
3.981 	11.653963617247053
4.266 	12.046689229861006
4.571 	12.517982860401345
4.898 	13.082165148269636
5.0 	13.270441748359278
5.248 	13.751984011438532
5.623 	14.541747399560744
6.026 	15.468017319656202
6.457 	16.54005016603092
6.918 	17.770752132520798
7.413 	19.178578690511873
7.943 	20.773866677324417
8.511 	22.572826645696978
9.12 	24.59261714376712
9.375 	25.46384513878894
9.772 	26.848091349482655
10.471 	29.362400927877182
11.22 	32.157240868609776
12.023 	35.26026252354773
12.882 	38.69373803883012
13.804 	42.502743166224825
14.791 	46.71529965061037
15.849 	51.37930913112457
16.982 	56.53770728731994
18.197 	62.25097149549488
18.75 	64.91184436863614
19.498 	68.56991120584708
20.893 	75.56912216642644
22.387 	83.31354661113504
23.988 	91.88879973003303
25.704 	101.3871430254706
27.542 	111.90198493284771
29.512 	123.55126234767096
31.623 	136.45587734969038
33.884 	150.7455257791299
36.308 	166.58565020373024
37.5 	174.56723777920902
38.905 	184.1342507418385
41.687 	203.57457304626257
44.668 	225.11797446921761
47.863 	248.99943597872104
51.286 	275.46390594130406
54.954 	304.79832082464407
58.884 	337.3113149593078
63.096 	373.360349510905
67.608 	413.3122149392081
72.444 	457.61575136964933
75.0 	481.6344694099979
77.625 	506.725863730794
83.176 	561.1700527865831
89.125 	621.546400081502
95.499 	688.4880586197131
102.329 762.7188420389756
109.648 845.0400960027897
117.49 	936.325398485502
125.893 1037.5621906111244
134.896 1149.8252254744473
144.544 1274.347910623686
150.0 	1346.6436908028973
154.882 1412.4582038367205
165.959 1565.639417822885
177.828 1735.5446302980447
190.546 1924.0121029270022
204.174 2133.0817553013017
218.776 2364.9965834882696
225.0 	2466.2687618855457
234.423 2622.285435001016
251.189 2907.722311202783
269.153 3224.380731491523
288.403 3575.733830739478
300.0 	3793.2422849353825
309.03 	3965.5796768836613
331.131 4398.124374192517
354.813 4878.099659872729
380.189 5410.729584452852
407.38 	6001.815598290246
436.516 6657.810722720403
467.735 7385.854595892497
500.0 	8164.771988880625
501.187 8193.930206372792
537.032 9090.892403025728
575.44 	10086.54321668255
616.595 11191.820082936878
660.693 12418.840488947013
707.946 13781.113756198692
758.578 15293.535386690504
812.831 16972.669908556614
870.964 18836.84052018365
933.254 20906.273200847365
